SCF #,SCF AO #,"SCF Assessment Objective (AO)
In addition to relevant policies, standards and procedures, the assessor shall examine, interview, and/or test to determine if appropriately scoped evidence exists to support the claim that:","PPTDF
Applicability",SCF Assessment Objective (AO) Origin(s),Notes / Errata,"Assessment
Rigor (AR)",SCF Defined Parameters (SDP),Organization Defined Parameters (ODP),"CMMC Level 1
AOs","NIST
800-53A","NIST
800-171A","NIST
800-171A R3","NIST
800-172A","Asset Type
examine/interview/test",Assessment Procedure,Expected Result(s),"Assessment Status
met / not met / not tested / an","Inherited
y/n",Assessment Frequency,Last Date Assessed,Assessment Performed By
AAT-01,AAT-01_A01,"Artificial Intelligence (AI) and Autonomous Technologies (AAT)-specific policies, standards and procedures are developed and documented.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-01,AAT-01_A02,"Artificial Intelligence (AI) and Autonomous Technologies (AAT)-specific policies, standards and procedures are implemented effectively.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-01,AAT-01_A03,"Artificial Intelligence (AI) and Autonomous Technologies (AAT) operations are conducted according to documented policies, standards, procedures and/or other organizational directives.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-01,AAT-01_A04,"adequate resources (e.g., people, processes, technologies, data and/or facilities) are provided to support Artificial Intelligence (AI) and Autonomous Technologies (AAT) operations.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-01,AAT-01_A05,responsibility and authority for the performance of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related activities are assigned to designated personnel.,People,SCF Created,,1,,,,,,,,,,,,,,,
AAT-01,AAT-01_A06,personnel performing Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related activities have the skills and knowledge needed to perform their assigned duties.,People,SCF Created,,2,,,,,,,,,,,,,,,
AAT-01.1,AAT-01.1_A01,"the organization analyzes its business practices to determine applicable statutory, regulatory and/or contractual obligations for Artificial Intelligence (AI) and Autonomous Technologies (AAT).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-01.2,AAT-01.2_A01,secure engineering principles are defined.,Process,53A_R5_SA-08_ODP[01],,1,,,,x,,,,,,,,,,,
AAT-01.2,AAT-01.2_A02,privacy engineering principles are defined.,Process,53A_R5_SA-08_ODP[02],,1,,,,x,,,,,,,,,,,
AAT-01.3,AAT-01.3_A01,the organization analyzes its business practices for Artificial Intelligence (AI) and Autonomous Technologies (AAT).,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-01.3,AAT-01.3_A02,the organization continuously improves its business practices to sustain the value of deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-01.4,AAT-01.4_A01,"the organization tracks AI models and AI agents deployed in development environments that captures:
(1) ownership
(2) intended purpose; and 
(3) status.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-01.4,AAT-01.4_A02,"the organization tracks AI models and AI agents deployed in production environments that captures:
(1) ownership
(2) intended purpose; and 
(3) status.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-01.4,AAT-01.4_A03,"the organization tracks AI models and AI agents updates that captures:
(1) ownership
(2) intended purpose; and 
(3) status.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-01.4,AAT-01.4_A04,"the organization tracks decommissioned AI models and AI agents that captures:
(1) ownership;
(2) intended purpose; and
(3) date of decommissioning.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-02,AAT-02_A01,an inventory of systems and system components that is at the level of granularity deemed necessary for tracking and reporting is documented.,Process,53A_R5_CM-08a.04,,1,,,,x,,,,,,,,,,,
AAT-02.1,AAT-02.1_A01,a risk catalog of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-specific risks is documented.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-02.1,AAT-02.1_A02,"a compliance catalog of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-specific laws, regulations and contractual obligations are documented.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-02.1,AAT-02.1_A03,the organization maps its risk catalog to its compliance catalog for Artificial Intelligence (AI) and Autonomous Technologies (AAT).,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-02.2,AAT-02.2_A01,roles and responsibilities exist to compel data and/or process owners to select required cybersecurity / data privacy controls for Artificial Intelligence (AI) and Autonomous Technologies (AAT) under their control.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-02.2,AAT-02.2_A02,Individual Contributor (IC) performance reviews cover how data and/or process owners operationalized cybersecurity / data privacy practices for Artificial Intelligence (AI) and Autonomous Technologies (AAT) under their control.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-02.3,AAT-02.3_A01,risks and threats for Artificial Intelligence (AI) and Autonomous Technologies (AAT) are identified.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-02.3,AAT-02.3_A02,reasonable cybersecurity and data protections that are commensurate with assessed risks and threats for Artificial Intelligence (AI) and Autonomous Technologies (AAT) are defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-02.3,AAT-02.3_A03,reasonable cybersecurity and data protections that are commensurate with assessed risks and threats for Artificial Intelligence (AI) and Autonomous Technologies (AAT) are implemented.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
AAT-02.4,AAT-02.4_A01,"Artificial Intelligence (AI) and Autonomous Technologies (AAT)-specific threat modeling addresses the following criteria across the lifecycle of the AAT:
(1) Attack surfaces;
(2) Adversarial threats; and 
(3) Abuse / misuse scenarios.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-02.4,AAT-02.4_A02,"Artificial Intelligence (AI) and Autonomous Technologies (AAT)-specific risk assessments address the following criteria across the lifecycle of the AAT:
(1) Attack surfaces;
(2) Adversarial threats; and 
(3) Abuse / misuse scenarios.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-03,AAT-03_A01,the context for the intended purpose(s) for Artificial Intelligence (AI) and Autonomous Technologies (AAT) is clearly documented.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-03,AAT-03_A02,the context for the potentially beneficial use(s) for Artificial Intelligence (AI) and Autonomous Technologies (AAT) is clearly documented.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-03,AAT-03_A03,the context for the legal and regulatory compliance for Artificial Intelligence (AI) and Autonomous Technologies (AAT) is clearly documented.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-03,AAT-03_A04,the context for the norms and expectations for Artificial Intelligence (AI) and Autonomous Technologies (AAT) is clearly documented.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-03,AAT-03_A05,the context for the proposed deployment setting(s) for Artificial Intelligence (AI) and Autonomous Technologies (AAT) is clearly documented.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-03.1,AAT-03.1_A01,the mission for Artificial Intelligence (AI) and Autonomous Technologies (AAT) is clearly documented.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-03.1,AAT-03.1_A02,the relevant goals for Artificial Intelligence (AI) and Autonomous Technologies (AAT) are clearly documented.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-03.2,AAT-03.2_A01,"AI model and agent-related documentation artifacts for data lineage is created, maintained and accessible.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-03.2,AAT-03.2_A02,"AI model and agent-related documentation artifacts for intended use is created, maintained and accessible.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-03.2,AAT-03.2_A03,"AI model and agent-related documentation artifacts for limitations is created, maintained and accessible.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-04,AAT-04_A01,capabilities for Artificial Intelligence (AI) and Autonomous Technologies (AAT) are benchmarked.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-04,AAT-04_A02,targeted usage for Artificial Intelligence (AI) and Autonomous Technologies (AAT) is benchmarked.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-04,AAT-04_A03,goals for Artificial Intelligence (AI) and Autonomous Technologies (AAT) are benchmarked.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-04,AAT-04_A04,expected benefits for Artificial Intelligence (AI) and Autonomous Technologies (AAT) are benchmarked.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-04,AAT-04_A05,expected costs for Artificial Intelligence (AI) and Autonomous Technologies (AAT) are benchmarked.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-04.1,AAT-04.1_A01,documented methods exist to viably assess the potential benefits of Artificial Intelligence (AI) and Autonomous Technologies (AAT).,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-04.2,AAT-04.2_A01,"documented methods exist to viably assess the potential costs, including non-monetary costs, resulting from expected or realized Artificial Intelligence (AI)-related errors or system functionality and trustworthiness.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-04.3,AAT-04.3_A01,the scope for Artificial Intelligence (AI) and Autonomous Technologies (AAT) is defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-04.4,AAT-04.4_A01,a risk catalog of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-specific risks is documented.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-04.4,AAT-04.4_A02,"a compliance catalog of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-specific laws, regulations and contractual obligations are documented.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-04.4,AAT-04.4_A03,a Third-Party Service Provider (TSP) catalog that includes Software as a Service (SaaS) is documented.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-04.4,AAT-04.4_A04,the organization maps its risk catalog across its compliance and Third-Party Service Provider (TSP) catalog for Artificial Intelligence (AI) and Autonomous Technologies (AAT) to determine the scope and potential impact of AAT-related risks.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-05,AAT-05_A01,roles and responsibilities for role-based cybersecurity / data privacy training are defined for Artificial Intelligence (AI) and Autonomous Technologies (AAT) internal and external stakeholders.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-05,AAT-05_A02,the frequency at which to provide role-based cybersecurity / data privacy training to Artificial Intelligence (AI) and Autonomous Technologies (AAT) stakeholders after initial training is defined.,Process,SCF Created,,1,at least annually,,,,,,,,,,,,,,
AAT-05,AAT-05_A03,events that require role-based training content for Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be updated are defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-05,AAT-05_A04,role-based privacy training is provided to organization-defined roles and responsibilities before authorizing access to Artificial Intelligence (AI) and Autonomous Technologies (AAT) or performing assigned duties.,People,SCF Created,,1,,,,,,,,,,,,,,,
AAT-05,AAT-05_A05,role-based cybersecurity / data privacy training for Artificial Intelligence (AI) and Autonomous Technologies (AAT) is provided upon hire and per an organization-defined frequency thereafter.,People,SCF Created,,1,at least annually,,,,,,,,,,,,,,
AAT-06,AAT-06_A01,"a documented methodology prioritizes workforce diversity, equity, inclusion and accessibility processes in the mapping, measuring and managing of Artificial Intelligence (AI)-related risks throughout the AAT lifecycle.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-07,AAT-07_A01,"the organization leverages decision makers from a diversity of demographics for mapping, measuring and managing Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks leverage personnel",People,SCF Created,,1,,,,,,,,,,,,,,,
AAT-07,AAT-07_A02,"the organization leverages decision makers from a diversity of disciplines for mapping, measuring and managing Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks leverage personnel",People,SCF Created,,1,,,,,,,,,,,,,,,
AAT-07,AAT-07_A03,"the organization leverages decision makers from a diversity of experience for mapping, measuring and managing Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks leverage personnel",People,SCF Created,,1,,,,,,,,,,,,,,,
AAT-07,AAT-07_A04,"the organization leverages decision makers from a diversity of expertise for mapping, measuring and managing Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks leverage personnel",People,SCF Created,,1,,,,,,,,,,,,,,,
AAT-07,AAT-07_A05,"the organization leverages decision makers from a diversity of backgrounds for mapping, measuring and managing Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks leverage personnel",People,SCF Created,,1,,,,,,,,,,,,,,,
AAT-07.1,AAT-07.1_A01,the organization characterizes the impacts of proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT) on individuals.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-07.1,AAT-07.1_A02,the organization characterizes the impact of proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT) on groups.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-07.1,AAT-07.1_A03,the organization characterizes the impact of proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT) on communities,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-07.1,AAT-07.1_A04,the organization characterizes the impact of proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT) on organizations.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-07.1,AAT-07.1_A05,the organization characterizes the impact of proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT) on society.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-07.2,AAT-07.2_A01,the potential likelihood is documented for each identified risk based on expected use and past uses of Artificial Intelligence (AI) and Autonomous Technologies (AAT) in similar contexts.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-07.2,AAT-07.2_A02,the potential impact is documented for each identified risk based on expected use and past uses of Artificial Intelligence (AI) and Autonomous Technologies (AAT) in similar contexts.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-07.3,AAT-07.3_A01,"a documented strategy exists to implement continuously monitoring of Artificial Intelligence (AI) and Autonomous Technologies (AAT) that maximize benefits, while minimizing negative impacts.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-08,AAT-08_A01,cybersecurity / data privacy roles and responsibilities are incorporated into organizational position descriptions.,Process,"53A_R5_PS-09[01]
53A_R5_PS-09[02]",,1,,,,x,,,,,,,,,,,
AAT-08,AAT-08_A02,users are formally made aware of their roles and responsibilities to maintain a safe and secure working environment.,People,SCF Created,,1,,,,,,,,,,,,,,,
AAT-08,AAT-08_A03,acknowledgement of user awareness is maintained by the organization.,People,SCF Created,,1,,,,,,,,,,,,,,,
AAT-08,AAT-08_A04,the frequency at which to review / update position risk designations is defined.,Process,53A_R5_PS-02_ODP,,1,at least annually,,,x,,,,,,,,,,,
AAT-08,AAT-08_A05,a risk designation is assigned to all organizational positions.,People,53A_R5_PS-02a.,,1,,,,x,,,,,,,,,,,
AAT-09,AAT-09_A01,a risk catalog of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-specific risks is documented.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-09,AAT-09_A02,"the organization maps its risk catalog, including potential impacts, to instances where Artificial Intelligence (AI) and Autonomous Technologies (AAT) are designed, developed, deployed, evaluated and used.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-09.1,AAT-09.1_A01,the organization assesses the risk associated with Artificial Intelligence (AI) and Autonomous Technologies (AAT).,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-09.1,AAT-09.1_A02,"Artificial Intelligence (AI) and Autonomous Technologies (AAT) are designated as ""High Risk"" if one(1), or more, of the follow criteria are met:
(1) AAT is used as a safety component of a product or service;
(2) AAT poses a significant risk of harm to an individual's health, safety or fundamental rights; and/or
(3) AAT materially influences the outcome of an individual's decision making.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10,AAT-10_A01,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability is organization-wide.",Process,53A_R5_CA-01_ODP[03],,1,,,,x,,,,,,,,,,,
AAT-10,AAT-10_A02,"a process is implemented to ensure that organizational plans for conducting cybersecurity / data privacy testing, training and monitoring activities associated with organizational systems are developed.",Process,"53A_R5_PM-14a.01[01]
53A_R5_PM-14a.01[03]",,1,,,,x,,,,,,,,,,,
AAT-10,AAT-10_A03,"a process is implemented to ensure that organizational plans for conducting cybersecurity / data privacy testing, training and monitoring activities associated with organizational systems are maintained.",Process,"53A_R5_PM-14a.01[02]
53A_R5_PM-14a.01[04]",,1,,,,x,,,,,,,,,,,
AAT-10,AAT-10_A04,"a process is implemented to ensure that organizational plans for conducting cybersecurity / data privacy testing, training and monitoring activities associated with organizational systems continue to be executed.",Process,"53A_R5_PM-14a.02[01]
53A_R5_PM-14a.02[02]",,1,,,,x,,,,,,,,,,,
AAT-10,AAT-10_A05,the authorization processes are integrated into an organization-wide risk management program.,Process,53A_R5_PM-10c.,,1,,,,x,,,,,,,,,,,
AAT-10.1,AAT-10.1_A01,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability evaluates Artificial Intelligence (AI) and Autonomous Technologies (AAT) for trustworthy characteristics.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.2,AAT-10.2_A01,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability documents test sets used during AI TEVV.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.2,AAT-10.2_A02,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability documents metrics used during AI TEVV.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.2,AAT-10.2_A03,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability documents details about the tools used during AI TEVV.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.3,AAT-10.3_A01,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability includes demonstrating the Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed is valid and reliable.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.4,AAT-10.4_A01,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability demonstrates the Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed is safe",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.4,AAT-10.4_A02,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability demonstrates residual, negative risk from Artificial Intelligence (AI) and Autonomous Technologies (AAT) does not exceed the organization's risk tolerance and can fail safely, particularly if made to operate beyond its knowledge limits.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.4,AAT-10.4_A03,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability demonstrates Artificial Intelligence (AI) and Autonomous Technologies (AAT) can fail safely, particularly if made to operate beyond its knowledge limits.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.5,AAT-10.5_A01,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability evaluates the security of the Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.5,AAT-10.5_A02,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability evaluates the resilience of the Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.6,AAT-10.6_A01,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability is integrated into an organization-wide risk management program.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.6,AAT-10.6_A02,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability examines risks associated with transparency and accountability of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.7,AAT-10.7_A01,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability includes a Data Protection Impact Assessment (DPIA) to identify and remediate reasonably-expected risks to Personal Data (PD).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.8,AAT-10.8_A01,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability includes examining fairness and bias of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.9,AAT-10.9_A01,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability includes validating the engineering model used in the design of the Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.10,AAT-10.10_A01,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability includes a determination on the viability of the proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.11,AAT-10.11_A01,"After Action Reviews (AARs), or similar lessons learned exercises, are conducted after each Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) cycle to evaluate the effectiveness of the AI TEVV processes.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.12,AAT-10.12_A01,"results from Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) findings are evaluated against Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related performance demonstrated for conditions similar to deployment settings.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.12,AAT-10.12_A02,"results from Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) findings are evaluated against Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related assurance criteria demonstrated for conditions similar to deployment settings.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.13,AAT-10.13_A01,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability includes proactive and continuous monitoring of deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.14,AAT-10.14_A01,"the organization's Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) capability integrates continual improvements for deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.15,AAT-10.15_A01,"results from Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) are documented.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.15,AAT-10.15_A02,"the status and results of Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) are reported to relevant stakeholders, including governing bodies, as required.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.16,AAT-10.16_A01,an empirically validated methods to evaluate claims of Artificial Intelligence (AI) and Autonomous Technologies (AAT) model capabilities is defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.16,AAT-10.16_A02,the organization evaluates claims of Artificial Intelligence (AI) and Autonomous Technologies (AAT) model capabilities using an organization-defined empirically validated method.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.17,AAT-10.17_A01,a method to benchmark the verifiable lineage and origin of content used by Artificial Intelligence (AI) and Autonomous Technologies (AAT) according to industry-recognized standards is defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.17,AAT-10.17_A02,the organization benchmarks the verifiable lineage and origin of content used by Artificial Intelligence (AI) and Autonomous Technologies (AAT).,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.18,AAT-10.18_A01,the organization mitigates concerns of model collapse by assessing the proportion of synthetic to non-synthetic training data.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.18,AAT-10.18_A02,the organization mitigates concerns of model collapse by verifying training data is not overly homogenous or Artificial Intelligence (AI) and Autonomous Technologies (AAT) system-produced.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.19,AAT-10.19_A01,"Third-party Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related components are assessed, approved and continuously monitored.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.19,AAT-10.19_A02,"Third-party Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related Application Programming Interfaces (APIs) are assessed, approved and continuously monitored.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-10.19,AAT-10.19_A03,"Third-party Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related services used by AI agents for security, privacy and compliance are assessed, approved and continuously monitored.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-11,AAT-11_A01,"roles and responsibilities exist to compel data and/or process owners to compel robust, ongoing engagement with relevant Artificial Intelligence (AI) and Autonomous Technologies (AAT) stakeholders to encourage feedback about positive, negative and unanticipated impacts.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-11,AAT-11_A02,"Individual Contributor (IC) performance reviews cover how data and/or process owners conducted engagement with relevant Artificial Intelligence (AI) and Autonomous Technologies (AAT) stakeholders to encourage feedback about positive, negative and unanticipated impacts.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-11.1,AAT-11.1_A01,"roles and responsibilities exist to compel data and/or process owners to regularly collect, consider, prioritize and integrate risk-related feedback from those external to the team that developed or deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-11.1,AAT-11.1_A02,"Individual Contributor (IC) performance reviews cover how data and/or process owners regularly collected, considered, prioritized and integrated risk-related feedback on Artificial Intelligence (AI) and Autonomous Technologies (AAT).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-11.2,AAT-11.2_A01,"independent assessors and/or internal stakeholders, who did not serve as front-line developers, are utilized for regular assessments and updates of deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-11.3,AAT-11.3_A01,the organization collects feedback from end users and impacted communities into Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related system evaluation metrics.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-11.3,AAT-11.3_A02,evaluation metrics from end users and impacted communities are integrated into Artificial Intelligence (AI) and Autonomous Technologies (AAT) developments.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-11.4,AAT-11.4_A01,"pertinent information from Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related incidents and/or errors are communicated to relevant stakeholders, including affected communities. ",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-12,AAT-12_A01,"an executive steering committee, or advisory board, evaluates business practices that want to or currently use Artificial Intelligence (AI) and Autonomous Technologies (AAT).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-12,AAT-12_A02,"measures exist for the executive steering committee, or advisory board, to proactively identify and evaluate third-party Intellectual Property (IP) infringement risks from Artificial Intelligence (AI) and Autonomous Technologies (AAT) usage.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-12,AAT-12_A03,actions are taken to prevent and/or block Artificial Intelligence (AI) and Autonomous Technologies (AAT) capabilities that infringe upon another party's Intellectual Property (IP).,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-12.1,AAT-12.1_A01,data sources utilized in the training and/or operation of Artificial Intelligence and Autonomous Technologies (AAT) are documented.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-12.2,AAT-12.2_A01,sources of data used by Artificial Intelligence and Autonomous Technologies (AAT) are evaluated for susceptibility to compromise.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-12.2,AAT-12.2_A02,"methods to protect integrity of source data to prevent accidental contamination or malicious corruption (e.g., data poisoning) that could compromise the performance of Artificial Intelligence and Autonomous Technologies (AAT) are implemented.",Data,SCF Created,,1,,,,,,,,,,,,,,,
AAT-12.3,AAT-12.3_A01,the organization publicly discloses information about Artificial Intelligence and Autonomous Technologies (AAT) in sufficient detail to assess content lineage.,Process,SCF Created,,1,,,,,,,,,,,,,,,
